filename,subject,emotion_label
KA.AN1.39.tiff,KA,anger
KA.AN2.40.tiff,KA,anger
KA.AN3.41.tiff,KA,anger
KA.DI1.42.tiff,KA,disgust
KA.DI2.43.tiff,KA,disgust
KA.DI3.44.tiff,KA,disgust
KA.FE1.45.tiff,KA,fear
KA.FE2.46.tiff,KA,fear
KA.FE3.47.tiff,KA,fear
KA.FE4.48.tiff,KA,fear
KA.HA1.29.tiff,KA,happy
KA.HA2.30.tiff,KA,happy
KA.HA3.31.tiff,KA,happy
KA.HA4.32.tiff,KA,happy
KA.NE1.26.tiff,KA,neutral
KA.NE2.27.tiff,KA,neutral
KA.NE3.28.tiff,KA,neutral
KA.SA1.33.tiff,KA,sad
KA.SA2.34.tiff,KA,sad
KA.SA3.35.tiff,KA,sad
KA.SU1.36.tiff,KA,surprise
KA.SU2.37.tiff,KA,surprise
KA.SU3.38.tiff,KA,surprise
KL.AN1.167.tiff,KL,anger
KL.AN2.168.tiff,KL,anger
KL.AN3.169.tiff,KL,anger
KL.DI1.170.tiff,KL,disgust
KL.DI2.171.tiff,KL,disgust
KL.DI3.172.tiff,KL,disgust
KL.DI4.173.tiff,KL,disgust
KL.FE1.174.tiff,KL,fear
KL.FE2.175.tiff,KL,fear
KL.FE3.176.tiff,KL,fear
KL.HA1.158.tiff,KL,happy
KL.HA2.159.tiff,KL,happy
KL.HA3.160.tiff,KL,happy
KL.NE1.155.tiff,KL,neutral
KL.NE2.156.tiff,KL,neutral
KL.NE3.157.tiff,KL,neutral
KL.SA1.161.tiff,KL,sad
KL.SA2.162.tiff,KL,sad
KL.SA3.163.tiff,KL,sad
KL.SU1.164.tiff,KL,surprise
KL.SU2.165.tiff,KL,surprise
KL.SU3.166.tiff,KL,surprise
KM.AN1.17.tiff,KM,anger
KM.AN2.18.tiff,KM,anger
KM.AN3.19.tiff,KM,anger
KM.DI1.20.tiff,KM,disgust
KM.DI3.22.tiff,KM,disgust
KM.FE1.23.tiff,KM,fear
KM.FE2.24.tiff,KM,fear
KM.FE3.25.tiff,KM,fear
KM.HA1.4.tiff,KM,happy
KM.HA2.5.tiff,KM,happy
KM.HA3.6.tiff,KM,happy
KM.HA4.7.tiff,KM,happy
KM.NE1.1.tiff,KM,neutral
KM.NE2.2.tiff,KM,neutral
KM.NE3.3.tiff,KM,neutral
KM.SA1.9.tiff,KM,sad
KM.SA2.10.tiff,KM,sad
KM.SA3.11.tiff,KM,sad
KM.SA5.13.tiff,KM,sad
KM.SU1.14.tiff,KM,surprise
KM.SU2.15.tiff,KM,surprise
KM.SU3.16.tiff,KM,surprise
KR.AN1.83.tiff,KR,anger
KR.AN2.84.tiff,KR,anger
KR.AN3.85.tiff,KR,anger
KR.DI1.86.tiff,KR,disgust
KR.DI2.87.tiff,KR,disgust
KR.DI3.88.tiff,KR,disgust
KR.FE1.89.tiff,KR,fear
KR.FE2.90.tiff,KR,fear
KR.FE3.91.tiff,KR,fear
KR.HA1.74.tiff,KR,happy
KR.HA2.75.tiff,KR,happy
KR.NE1.71.tiff,KR,neutral
KR.NE2.72.tiff,KR,neutral
KR.NE3.73.tiff,KR,neutral
KR.SA1.77.tiff,KR,sad
KR.SA2.78.tiff,KR,sad
KR.SA3.79.tiff,KR,sad
KR.SU1.80.tiff,KR,surprise
KR.SU2.81.tiff,KR,surprise
KR.SU3.82.tiff,KR,surprise
MK.AN1.125.tiff,MK,anger
MK.AN2.126.tiff,MK,anger
MK.AN3.127.tiff,MK,anger
MK.DI1.128.tiff,MK,disgust
MK.DI2.129.tiff,MK,disgust
MK.DI3.130.tiff,MK,disgust
MK.FE1.131.tiff,MK,fear
MK.FE2.132.tiff,MK,fear
MK.FE3.133.tiff,MK,fear
MK.HA1.116.tiff,MK,happy
MK.HA2.117.tiff,MK,happy
MK.HA3.118.tiff,MK,happy
MK.NE1.113.tiff,MK,neutral
MK.NE2.114.tiff,MK,neutral
MK.NE3.115.tiff,MK,neutral
MK.SA1.119.tiff,MK,sad
MK.SA2.120.tiff,MK,sad
MK.SA3.121.tiff,MK,sad
MK.SU1.122.tiff,MK,surprise
MK.SU2.123.tiff,MK,surprise
MK.SU3.124.tiff,MK,surprise
NA.AN1.211.tiff,NA,anger
NA.AN2.212.tiff,NA,anger
NA.AN3.213.tiff,NA,anger
NA.DI1.214.tiff,NA,disgust
NA.DI2.215.tiff,NA,disgust
NA.DI3.216.tiff,NA,disgust
NA.FE1.217.tiff,NA,fear
NA.FE2.218.tiff,NA,fear
NA.FE3.219.tiff,NA,fear
NA.HA1.202.tiff,NA,happy
NA.HA2.203.tiff,NA,happy
NA.HA3.204.tiff,NA,happy
NA.NE1.199.tiff,NA,neutral
NA.NE2.200.tiff,NA,neutral
NA.NE3.201.tiff,NA,neutral
NA.SA1.205.tiff,NA,sad
NA.SA2.206.tiff,NA,sad
NA.SA3.207.tiff,NA,sad
NA.SU1.208.tiff,NA,surprise
NA.SU2.209.tiff,NA,surprise
NA.SU3.210.tiff,NA,surprise
NM.AN1.104.tiff,NM,anger
NM.AN2.105.tiff,NM,anger
NM.AN3.106.tiff,NM,anger
NM.DI1.107.tiff,NM,disgust
NM.DI3.109.tiff,NM,disgust
NM.FE1.110.tiff,NM,fear
NM.FE2.111.tiff,NM,fear
NM.FE3.112.tiff,NM,fear
NM.HA1.95.tiff,NM,happy
NM.HA2.96.tiff,NM,happy
NM.HA3.97.tiff,NM,happy
NM.NE1.92.tiff,NM,neutral
NM.NE2.93.tiff,NM,neutral
NM.NE3.94.tiff,NM,neutral
NM.SA1.98.tiff,NM,sad
NM.SA2.99.tiff,NM,sad
NM.SA3.100.tiff,NM,sad
NM.SU1.101.tiff,NM,surprise
NM.SU2.102.tiff,NM,surprise
NM.SU3.103.tiff,NM,surprise
TM.AN1.190.tiff,TM,anger
TM.AN2.191.tiff,TM,anger
TM.AN3.192.tiff,TM,anger
TM.DI1.193.tiff,TM,disgust
TM.DI2.194.tiff,TM,disgust
TM.DI3.195.tiff,TM,disgust
TM.FE1.196.tiff,TM,fear
TM.FE2.197.tiff,TM,fear
TM.FE3.198.tiff,TM,fear
TM.HA1.180.tiff,TM,happy
TM.HA2.181.tiff,TM,happy
TM.HA3.182.tiff,TM,happy
TM.NE1.177.tiff,TM,neutral
TM.NE2.178.tiff,TM,neutral
TM.NE3.179.tiff,TM,neutral
TM.SA1.184.tiff,TM,sad
TM.SA2.185.tiff,TM,sad
TM.SA3.186.tiff,TM,sad
TM.SU1.187.tiff,TM,surprise
TM.SU2.188.tiff,TM,surprise
TM.SU3.189.tiff,TM,surprise
UY.AN1.146.tiff,UY,anger
UY.AN2.147.tiff,UY,anger
UY.AN3.148.tiff,UY,anger
UY.DI1.149.tiff,UY,disgust
UY.DI2.150.tiff,UY,disgust
UY.DI3.151.tiff,UY,disgust
UY.FE1.152.tiff,UY,fear
UY.FE2.153.tiff,UY,fear
UY.FE3.154.tiff,UY,fear
UY.HA1.137.tiff,UY,happy
UY.HA2.138.tiff,UY,happy
UY.HA3.139.tiff,UY,happy
UY.NE1.134.tiff,UY,neutral
UY.NE2.135.tiff,UY,neutral
UY.NE3.136.tiff,UY,neutral
UY.SA1.140.tiff,UY,sad
UY.SA2.141.tiff,UY,sad
UY.SA3.142.tiff,UY,sad
UY.SU1.143.tiff,UY,surprise
UY.SU2.144.tiff,UY,surprise
UY.SU3.145.tiff,UY,surprise
YM.AN1.61.tiff,YM,anger
YM.AN2.62.tiff,YM,anger
YM.AN3.63.tiff,YM,anger
YM.DI1.64.tiff,YM,disgust
YM.DI2.65.tiff,YM,disgust
YM.DI3.66.tiff,YM,disgust
YM.FE1.67.tiff,YM,fear
YM.FE2.68.tiff,YM,fear
YM.FE3.69.tiff,YM,fear
YM.FE4.70.tiff,YM,fear
YM.HA1.52.tiff,YM,happy
YM.HA2.53.tiff,YM,happy
YM.HA3.54.tiff,YM,happy
YM.NE1.49.tiff,YM,neutral
YM.NE2.50.tiff,YM,neutral
YM.NE3.51.tiff,YM,neutral
YM.SA1.55.tiff,YM,sad
YM.SA2.56.tiff,YM,sad
YM.SA3.57.tiff,YM,sad
YM.SU1.58.tiff,YM,surprise
YM.SU2.59.tiff,YM,surprise
YM.SU3.60.tiff,YM,surprise
